PRICING RULE DEFINITION,Pricing Rule : ,Disc,Price,Auto Analysis Up :,T,Changed By :,HE-CY,Auto Analysis Down :,T,Changed On :,1/25/2018,Item,Discount %,Price,Analysis : ICP-DRY,0,27.1,12/13/2018  9:45:30AM,,Page 1 of 1
PRICING RULE DEFINITION,Analysis : MOIST-FAO,0,20.14,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Analysis : PH,0,12.2,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Analysis : PHOSPH-ICP,0,14.82,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Analysis : SODIUM-ICP,0,14.25,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Biotechnology,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Dairy,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Extraneous Matter,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Instrumental Chemistry,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : IRMA,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Physical Testing,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Qualitative Micro,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Quantitative Micro,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Vitamins,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
PRICING RULE DEFINITION,Category : Wet Chemistry,40,0,12/13/2018  9:45:30AM,,Page 1 of 1,,,,,,,,,,,,,,
