,Well,Sample,Call,Type,RFU1,RFU2
,A01,388047686-1,Allele 1,Auto,10334.6931397856,2928.31795701736
,A02,388049438,Allele 2,Auto,-551.213418625288,7758.93479780746
,B01,388047686-2,Allele 1,Auto,11271.0429197985,3511.68938471726
,B02,388049460,Allele 1,Auto,11683.4583708376,5401.21746950713
,C01,388047686-3,Allele 1,Auto,11766.4795379006,3830.59568677063
,C02,,Allele 2,Auto,58.3505565969936,8466.20843906746
,D01,388047686-4,Allele 1,Auto,11890.9066281226,3959.45527913691
,D02,,Allele 1,Auto,15854.6372139847,7452.459942645
,E01,388047686-5,Allele 1,Auto,13143.7062791857,4090.64391981113
,F01,388047686-6,Allele 1,Auto,11453.7108395296,3271.8335065426
,G01,388047686-7,Allele 1,Auto,11956.1007600003,3325.31611065731
,H01,388047920,Allele 2,Auto,-329.129292507467,3671.68088490249
