Group,SAP Material 
P6520522,20588748
P6520142,20588770
P6520139,20588773
P6520138,20588774
P6520125,20588393
P6520119,20588398
P6520118,20588399
P6520117,20588400
P6520104,20588410
P6520062,20588416
P6520061,20588417
P6521723,20588447
P6520001,20588461
P6520204,20588462
P6520425,20588474
P6520424,20588475
P6520193,20588871
P6520191,20588873
P6520504,20588918
P6520579,20588919
P6520503,20588920
P6520500,20588947
P6520501,20588948
P6520502,20588949
P6520364,20588966
P6520581,20590713
P6520608,20590733
P6520633,20590751
P6520827,20589817
P6520743,20589838
P6520744,20589839
P6520745,20589840
P6520702,20589843
P6520701,20589844
P6520838,20589993
P6520767,20589998
P6520839,20590788
P6520954,20590033
P6521090,20590935
P6521091,20590936
P6521092,20590937
P6521037,20590948
P6521191,20590383
P6521192,20590384
P6521189,20590385
P6521190,20590386
P6520358,20591217
P6520340,20590408
P6520334,20590412
P6520330,20590414
P6520329,20590415
P6520328,20590416
P6520027,20590547
P6521659,20591345
P6520222,20591346
P6520450,20591379
P6520449,20591380
P6520465,20591382
P6520446,20591383
P6520445,20591384
P6520444,20591386
P6520395,20590614
P6520396,20590615
P6520406,20591549
P6520470,20591551
P6520408,70403095
P6520409,20590919
P6520468,20590923
P6520410,20590924
P6520414,20591817
P522CA03,70405609
P522CA03,20588867
P522CA03,20588868
P522CL01,20592191
P522CL01,20592057
P522CL01,20592070
P522CL01,20592173
P522CL01,20592180
P522CL01,20592198
P522CL01,20592205
P522CL01,20592189
P522CL01,20592190
P522CL01,20592194
P522CL01,20592207
P522CL01,20592210
P522CL01,20592208
P522CL01,20592197
P522CL01,20592204
P522CL01,20592209
P522CL01,20592188
P522CL01,20592053
P522CL01,20592058
P522CL01,20592069
P522CL01,20592071
P522CL01,20592170
P522CL01,20592171
P522CL01,20592202
P522CL01,20592217
P522CL05,20592022
P522CL07,20591702
P522LS02,70403338
P522LS02,70405144
P522LS02,20589438
P522LS02,20589456
P522LS02,20588672
P522LS02,20588779
P522LS02,20589677
P522LS02,20589705
