Group,SAP Test ,Test Description,UOM,SAP Material 
P520_AE,SPC,Aerobic plate count,CFU/g,20588554.0
P520_AE,SPC,Aerobic plate count,CFU/g,20588744.0
P520_AEN,SPC,Aerobic plate count,CFU/g,20588629.0
P520_COL,ECOLIN,E-Coli,CFU/g,20588655.0
P520_COL,COLIFORM,Coliform,CFU/g,20588655.0
P520_GLU,GLUTEN,Gluten,,20589612.0
P520_GLU,GLUTEN,Gluten,,20588855.0
P520_GLU,GLUTEN,Gluten,,20589082.0
P520_GLU,GLUTEN,Gluten,,20589088.0
P520_GLU,GLUTEN,Gluten,,20589107.0
P520_GLU,GLUTEN,Gluten,,20589117.0
P520_GLU,GLUTEN,Gluten,,20589895.0
P520_GLU,GLUTEN,Gluten,,20589896.0
P520_GLU,GLUTEN,Gluten,,20589900.0
P520_GLU,GLUTEN,Gluten,,20589902.0
P520_GLU,GLUTEN,Gluten,,20589150.0
P520_GLU,GLUTEN,Gluten,,20589154.0
P520_GLU,GLUTEN,Gluten,,20589156.0
P520_GLU,GLUTEN,Gluten,,20589158.0
P520_GLU,GLUTEN,Gluten,,20589190.0
P520_GLU,GLUTEN,Gluten,,20590245.0
P520_GLU,GLUTEN,Gluten,,20590246.0
P520_GLU,GLUTEN,Gluten,,20590275.0
P520_GLU,GLUTEN,Gluten,,20592162.0
P520_GLU,GLUTEN,Gluten,,20592244.0
P520_GLU,GLUTEN,Gluten,,20590303.0
P520_GLU,GLUTEN,Gluten,,20589604.0
P520_GLU,GLUTEN,Gluten,,20589375.0
P520_GLU,GLUTEN,Gluten,,20589395.0
P520_GLU,GLUTEN,Gluten,,20589607.0
P520_GLU,GLUTEN,Gluten,,20589391.0
P520_GLU,GLUTEN,Gluten,,20589608.0
P520_GLU,GLUTEN,Gluten,,20590493.0
P520_GLU,GLUTEN,Gluten,,20590442.0
P520_GLU,GLUTEN,Gluten,,20589602.0
P520_GLU,GLUTEN,Gluten,,20590439.0
P520_GLU,GLUTEN,Gluten,,20589631.0
P520_GLU,GLUTEN,Gluten,,20590438.0
P520_GLU,GLUTEN,Gluten,,20589860.0
P520_GLU,GLUTEN,Gluten,,20589597.0
P520_GLU,GLUTEN,Gluten,,20589609.0
P520_GLU,GLUTEN,Gluten,,20589605.0
P520_GLU,GLUTEN,Gluten,,20589390.0
P520_GLU,GLUTEN,Gluten,,
P520_MIC,SAL_375,Salmonella per 375g,,20589458.0
P520_MIC,SAL_375,Salmonella per 375g,,20589083.0
P520_MIC,LIST_25,Listeria per 25g,,20589458.0
P520_MIC,LIST_25,Listeria per 25g,,20589083.0
P520_MIC,YEAST,Yeast,CFU/g,20589458.0
P520_MIC,YEAST,Yeast,CFU/g,20589083.0
P520_MIC,ECOLIN,E-Coli,CFU/g,20589458.0
P520_MIC,ECOLIN,E-Coli,CFU/g,20589083.0
P520_MIC,SPC,Aerobic plate count,CFU/g,20589458.0
P520_MIC,SPC,Aerobic plate count,CFU/g,20589083.0
P520_MIC,COLIFORM,Coliform,CFU/g,20589458.0
P520_MIC,COLIFORM,Coliform,CFU/g,20589083.0
P520_MIC,MOULDS,Mold,CFU/g,20589458.0
P520_MIC,MOULDS,Mold,CFU/g,20589083.0
P520_MIC,S_AUREUS,Staph,CFU/g,20589458.0
P520_MIC,S_AUREUS,Staph,CFU/g,20589083.0
P520_SOL,SAL_375,Salmonella per 375g,,20589428.0
P520_SOL,SAL_375,Salmonella per 375g,,20589489.0
P520_SOL,SAL_375,Salmonella per 375g,,20589518.0
P520_SOL,SAL_375,Salmonella per 375g,,20591830.0
P520_SOL,SAL_375,Salmonella per 375g,,20590264.0
P520_SOL,SAL_375,Salmonella per 375g,,20589862.0
P520_SOL,SAL_375,Salmonella per 375g,,20589853.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20589428.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20589489.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20589518.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20591830.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20590264.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20589862.0
P520_SOL,SPC,Aerobic plate count,CFU/g,20589853.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20589428.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20589489.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20589518.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20591830.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20590264.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20589862.0
P520_SOL,ECOLIN,E-Coli,CFU/g,20589853.0
P520_SOL,COLIFORM,Coliform,CFU/g,20589428.0
P520_SOL,COLIFORM,Coliform,CFU/g,20589489.0
P520_SOL,COLIFORM,Coliform,CFU/g,20589518.0
P520_SOL,COLIFORM,Coliform,CFU/g,20591830.0
P520_SOL,COLIFORM,Coliform,CFU/g,20590264.0
P520_SOL,COLIFORM,Coliform,CFU/g,20589862.0
